url	title	provider	monitor	os	front_cam	back_cam	cpu	ram	rom	SD	SIM	battery
https://tiki.vn/dien-thoai-samsung-galaxy-a10-32gb-2gb-hang-chinh-hang-p12738344.html?src=category-page-1789.1795&2hi=0	Điện Thoại Samsung Galaxy A10 (32GB/2GB) - Hàng Chính Hãng	Samsung										
https://tiki.vn/dien-thoai-iphone-11-pro-256gb-hang-chinh-hang-p32039598.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone 11 Pro 256GB - Hàng Chính Hãng	Apple										
https://tiki.vn/dien-thoai-samsung-galaxy-a20-32gb-3gb-hang-chinh-hang-p12730548.html?src=category-page-1789.1795&2hi=0	Điện Thoại Samsung Galaxy A20 (32GB/3GB) - Hàng Chính Hãng	Samsung										
https://tiki.vn/dien-thoai-xiaomi-redmi-note-8-hang-chinh-hang-p35773440.html?src=category-page-1789.1795&2hi=1	Điện Thoại Xiaomi Redmi Note 8 - Hàng Chính Hãng	Xiaomi										
https://tiki.vn/dien-thoai-xiaomi-redmi-7a-2gb-32gb-hang-chinh-hang-p21973814.html?src=category-page-1789.1795&2hi=1	Điện Thoại Xiaomi Redmi 7A (2GB/32GB) - Hàng Chính Hãng	Xiaomi										
https://tiki.vn/dien-thoai-vsmart-bee-1gb-16gb-hang-chinh-hang-p26021642.html?src=category-page-1789.1795&2hi=1	Điện Thoại Vsmart  Bee (1GB/16GB) - Hàng Chính Hãng	Vsmart										
https://tiki.vn/dien-thoai-iphone-x-vn-a-hang-chinh-hang-vn-a-p36700347.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone X VN/A - Hàng Chính Hãng VN/A	Apple										
https://tiki.vn/dien-thoai-iphone-xr-64gb-hang-nhap-khau-chinh-hang-p4529255.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone XR 64GB - Hàng Nhập Khẩu Chính Hãng	Apple										
https://tiki.vn/dien-thoai-iphone-11-pro-64gb-hang-chinh-hang-p32036936.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone 11 Pro 64GB - Hàng Chính Hãng 	Apple										
https://tiki.vn/dien-thoai-iphone-xs-max-64gb-hang-chinh-hang-p4538569.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone XS Max 64GB - Hàng Chính Hãng	Apple										
https://tiki.vn/dien-thoai-samsung-galaxy-a50s-64gb-4gb-hang-chinh-hang-p29964500.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy A50s (64GB/4GB) - Hàng Chính Hãng	Samsung										
https://tiki.vn/dien-thoai-vsmart-joy-2-hang-chinh-hang-p32453719.html?src=category-page-1789.1795&2hi=1	Điện Thoại Vsmart Joy 2+ (Hàng Chính Hãng)	Vsmart										
https://tiki.vn/dien-thoai-samsung-galaxy-a30-32gb-3gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p19351190.html?src=category-page-1789.1795&2hi=0	Điện Thoại Samsung Galaxy A30 (32GB/3GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử	Samsung										
