url	title	provider	monitor	os	front_cam	back_cam	cpu	ram	rom	SD	SIM	battery
https://thegioididong.com/dtdd/xiaomi-mi-a3	Điện thoại Xiaomi Mi A3	thegioididong	AMOLED, 6.01", HD+	Android 9 Pie (Android One)	Chính 48 MP & Phụ 8 MP, 2 MP	32 MP	Snapdragon 665 8 nhân	4 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	4030 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-a20s-32gb	Điện thoại Samsung Galaxy A20s 32GB	thegioididong	IPS LCD, 6.5", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 8 MP, 5 MP	8 MP	Qualcomm Snapdragon 450 8 nhân 64-bit	3 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/vivo-y17	Điện thoại Vivo Y17	thegioididong	IPS LCD, 6.35", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 8 MP, 2 MP	20 MP	MediaTek Helio P35 8 nhân 64-bit	4 GB	128 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-a20	Điện thoại Samsung Galaxy A20	thegioididong	Super AMOLED, 6.4", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 5 MP	8 MP	Exynos 7884 8 nhân	3 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/xiaomi-redmi-note-8-32gb	Điện thoại Xiaomi Redmi Note 8 (3GB/32GB)	thegioididong	IPS LCD, 6.3", Full HD+	Android 9.0 (Pie)	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	13 MP	Snapdragon 665 8 nhân	3 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/realme-5	Điện thoại Realme 5 (3GB/64GB)	thegioididong	IPS LCD, 6.5", HD+	Android 9.0 (Pie)	Chính 12 MP & Phụ 8 MP, 2 MP, 2 MP	13 MP	Snapdragon 665 8 nhân	3 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh
https://thegioididong.com/dtdd/realme-3	Điện thoại Realme 3 (3GB/32GB)	thegioididong	IPS LCD, 6.22", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 2 MP	13 MP	MediaTek Helio P60 8 nhân 64-bit	3 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4230 mAh
https://thegioididong.com/dtdd/nokia-61-plus	Điện thoại Nokia 6.1 Plus	thegioididong	IPS LCD, 5.8", Full HD+	Android 8 Oreo (Android One)	Chính 16 MP & Phụ 5 MP	16 MP	Qualcomm Snapdragon 636 8 nhân 64-bit	4 GB	64 GB	MicroSD, hỗ trợ tối đa 400 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	3060 mAh, có sạc nhanh
https://thegioididong.com/dtdd/vivo-v11i	Điện thoại Vivo V11i	thegioididong	IPS LCD, 6.3", Full HD+	Android 8.1 (Oreo)	Chính 16 MP & Phụ 5 MP	25 MP	MediaTek Helio P60 8 nhân 64-bit	4 GB	128 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	3315 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-a10s	Điện thoại Samsung Galaxy A10s	thegioididong	IPS TFT, 6.2", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 2 MP	8 MP	MediaTek MT6762 8 nhân 64-bit (Helio P22)	2 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/oppo-a5s	Điện thoại OPPO A5s	thegioididong	IPS LCD, 6.2", HD+	Android 8.1 (Oreo)	Chính 13 MP & Phụ 2 MP	8 MP	MediaTek Helio P35 8 nhân 64-bit	3 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4230 mAh
https://thegioididong.com/dtdd/xiaomi-redmi-7	Điện thoại Xiaomi Redmi 7 (3GB/32GB)	thegioididong	IPS LCD, 6.26", HD+	Android 9.0 (Pie)	Chính 12 MP & Phụ 2 MP	8 MP	Qualcomm Snapdragon 632 8 nhân 64-bit	3 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/vivo-y12	Điện thoại Vivo Y12	thegioididong	IPS LCD, 6.35", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 8 MP, 2 MP	8 MP	MediaTek MT6762 8 nhân 64-bit (Helio P22)	3 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh
https://thegioididong.com/dtdd/huawei-y7-pro-2019	Điện thoại Huawei Y7 Pro (2019)	thegioididong	IPS LCD, 6.26", HD+	Android 8.1 (Oreo)	Chính 13 MP & Phụ 2 MP	16 MP	Qualcomm Snapdragon 450 8 nhân 64-bit	3 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/vivo-y91	Điện thoại Vivo Y91	thegioididong	IPS LCD, 6.22", HD+	Android 8.1 (Oreo)	Chính 13 MP & Phụ 2 MP	8 MP	MediaTek MT6762R 8 nhân	3 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4030 mAh
https://thegioididong.com/dtdd/nokia-51-plus	Điện thoại Nokia 5.1 Plus	thegioididong	IPS LCD, 5.8", HD+	Android 8 Oreo (Android One)	Chính 13 MP & Phụ 5 MP	8 MP	MediaTek Helio P60 8 nhân 64-bit	3 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	3060 mAh, có sạc nhanh
https://thegioididong.com/dtdd/nokia-32	Điện thoại Nokia 3.2 32GB	thegioididong	IPS LCD, 6.2", HD+	Android 9 Pie (Android One)	13 MP	5 MP	Qualcomm Snapdragon 429 4 nhân 64-bit	3 GB	32 GB	MicroSD, hỗ trợ tối đa 400 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/samsung-galaxy-a10	Điện thoại Samsung Galaxy A10	thegioididong	IPS LCD, 6.2", HD+	Android 9.0 (Pie)	13 MP	5 MP	Exynos 7884 8 nhân	2 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	3400 mAh
https://thegioididong.com/dtdd/vivo-y11	Điện thoại Vivo Y11	thegioididong	IPS LCD, 6.35", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 2 MP	8 MP	Snapdragon 439 8 nhân	3 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh
https://thegioididong.com/dtdd/xiaomi-redmi-8	Điện thoại Xiaomi Redmi 8 (3GB/32GB)	thegioididong	IPS LCD, 6.22", HD+	Android 9.0 (Pie)	Chính 12 MP & Phụ 2 MP	8 MP	Snapdragon 439 8 nhân	3 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/oppo-a1k	Điện thoại OPPO A1K	thegioididong	IPS LCD, 6.1", HD+	Android 9.0 (Pie)	8 MP	5 MP	MediaTek MT6762R 8 nhân	2 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/xiaomi-redmi-7-16gb	Điện thoại Xiaomi Redmi 7 (2GB/16GB)	thegioididong	IPS LCD, 6.26", HD+	Android 9.0 (Pie)	Chính 12 MP & Phụ 2 MP	8 MP	Qualcomm Snapdragon 632 8 nhân 64-bit	2 GB	16 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/realme-c2	Điện thoại Realme C2 (3GB/32GB)	thegioididong	IPS LCD, 6.1", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 2 MP	5 MP	MediaTek MT6762 8 nhân (Helio P22)	3 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/vivo-y91c	Điện thoại Vivo Y91C	thegioididong	IPS LCD, 6.22", HD+	Android 8.1 (Oreo)	13 MP	5 MP	MediaTek MT6762R 8 nhân	2 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4030 mAh
